Build Type,Date,Time,Application,Environment,Release,Publish Type,App Job Name,App Job Build Number,Spinner Job Name,Spinner Job Build Number,App Job Duration,Spinner Job Duration,Total Execution,Total Time (In mins.secs)
Auto,11/3/2016,07:04:31,AEROPLM,DEV,Dev_3_13_0,db,PLM-AEROPLM-APP,232,PLM-AEROPLM-DB,233,5 mins 16 secs,0 mins 38 secs,5 mins 54 secs,5.54
Auto,11/3/2016,07:24:14,WINDPLM,QA3,Release_4_6,app,PLM-WINDPLM-APP,1197,,,2 mins 34 secs,,2 mins 34 secs,2.34
Auto,11/3/2016,08:39:51,WINDPLM,DEV3,wind_dev_4_6,all,PLM-WINDPLM-APP,1198,PLM-WINDPLM-DB,1018,6 mins 17 secs,0 mins 39 secs,6 mins 57 secs,6.57
Manual,11/3/2016,10:14:36,NuclearPLM,PROD,Release_4_0,all,PLM-NuclearPLM-APP,138,PLM-NuclearPLM-DB,125,14 mins 43 secs,0 mins 33 secs,15 mins 16 secs,15.16
Manual,11/3/2016,11:37:33,ENERGYPLM,QA2,Release_6_2,db,PLM-ENERGYPLM-APP,461,PLM-ENERGYPLM-DB,376,2 mins 21 secs,0 mins 40 secs,3 mins 1 secs,3.1
Manual,11/3/2016,16:29:29,PGSLM,PROD,Release_1_3,db,PLM-PGSLM-APP,62,PLM-PGSLM-DB,41,13 mins 44 secs,0 mins 25 secs,14 mins 9 secs,14.9
Auto,11/3/2016,23:40:08,WINDPLM,DEV3,wind_dev_4_6,all,PLM-WINDPLM-APP,1199,PLM-WINDPLM-DB,1019,2 mins 47 secs,0 mins 47 secs,3 mins 34 secs,3.34
Auto,11/4/2016,01:23:36,WINDPLM,QA3,Release_4_6,db,PLM-WINDPLM-APP,1200,PLM-WINDPLM-DB,1020,5 mins 42 secs,0 mins 51 secs,6 mins 33 secs,6.33
Auto,11/4/2016,02:35:15,AEROPLM,DEV,Dev_3_13_0,db,PLM-AEROPLM-APP,233,PLM-AEROPLM-DB,234,1 mins 22 secs,0 mins 34 secs,1 mins 57 secs,1.57
Auto,11/4/2016,03:09:06,WINDPLM,QA3,Release_4_6,db,PLM-WINDPLM-APP,1201,PLM-WINDPLM-DB,1021,1 mins 31 secs,0 mins 39 secs,2 mins 10 secs,2.10
Auto,11/4/2016,03:40:13,WINDPLM,DEV3,wind_dev_4_6,db,PLM-WINDPLM-APP,1202,PLM-WINDPLM-DB,1022,5 mins 23 secs,0 mins 51 secs,6 mins 14 secs,6.14
Auto,11/4/2016,03:57:42,WINDPLM,QA3,Release_4_6,app,PLM-WINDPLM-APP,1203,,,6 mins 9 secs,,6 mins 9 secs,6.9
Manual,11/4/2016,04:21:40,ENERGYPLM,QA2,Release_6_2,db,PLM-ENERGYPLM-APP,462,PLM-ENERGYPLM-DB,377,2 mins 23 secs,0 mins 40 secs,3 mins 3 secs,3.3
Auto,11/4/2016,05:42:25,AEROPLM,DEV2,Dev_3_15_0,app,PLM-AEROPLM-APP,234,,,6 mins 21 secs,,6 mins 21 secs,6.21
Auto,11/4/2016,05:44:18,AEROPLM,DEV2,Dev_3_15_0,db,PLM-AEROPLM-APP,235,PLM-AEROPLM-DB,235,1 mins 18 secs,0 mins 21 secs,1 mins 40 secs,1.40
Auto,11/4/2016,06:04:50,AEROPLM,QA,Release_3_13_0,db,PLM-AEROPLM-APP,236,PLM-AEROPLM-DB,236,4 mins 57 secs,0 mins 36 secs,5 mins 33 secs,5.33
Auto,11/4/2016,06:09:39,AEROPLM,DEV2,Dev_3_15_0,db,PLM-AEROPLM-APP,237,PLM-AEROPLM-DB,237,5 mins 2 secs,0 mins 27 secs,5 mins 30 secs,5.30
Manual,11/4/2016,07:15:21,AEROPLM,QA,Release_3_13_0,db,PLM-AEROPLM-APP,238,PLM-AEROPLM-DB,238,4 mins 57 secs,0 mins 31 secs,5 mins 28 secs,5.28
Auto,11/4/2016,08:45:50,WINDPLM,DEV3,wind_dev_4_6,all,PLM-WINDPLM-APP,1205,PLM-WINDPLM-DB,1024,6 mins 28 secs,0 mins 53 secs,7 mins 22 secs,7.22
